profile,alpha,table_bonus,n,hit_rate_at_5,mrr_at_5
exact_lexical,0.1,0.0,41,0.34146341463414637,0.27723577235772356
exact_lexical,0.2,0.0,41,0.34146341463414637,0.2792682926829268
exact_lexical,0.3,0.0,41,0.3170731707317073,0.27439024390243905
exact_lexical,0.4,0.0,41,0.3170731707317073,0.224390243902439
exact_lexical,0.5,0.0,41,0.2926829268292683,0.21951219512195122
exact_lexical,0.6,0.0,41,0.2926829268292683,0.1971544715447154
exact_lexical,0.7,0.0,41,0.2926829268292683,0.18170731707317073
exact_lexical,0.8,0.0,41,0.2682926829268293,0.16260162601626016
exact_lexical,0.9,0.0,41,0.21951219512195122,0.14918699186991868
exact_lexical,1.0,0.0,41,0.21951219512195122,0.14918699186991868
noisy_conversational,0.1,0.0,60,0.4166666666666667,0.3597222222222222
noisy_conversational,0.2,0.0,60,0.4166666666666667,0.3625
noisy_conversational,0.3,0.0,60,0.4166666666666667,0.36666666666666664
noisy_conversational,0.4,0.0,60,0.4166666666666667,0.3630555555555556
noisy_conversational,0.5,0.0,60,0.4,0.3513888888888889
noisy_conversational,0.6,0.0,60,0.4,0.33472222222222225
noisy_conversational,0.7,0.0,60,0.4,0.3138888888888889
noisy_conversational,0.8,0.0,60,0.43333333333333335,0.31055555555555553
noisy_conversational,0.9,0.0,60,0.4,0.3025
noisy_conversational,1.0,0.0,60,0.38333333333333336,0.29916666666666664
quantitative,0.1,0.0,60,0.55,0.4263888888888889
quantitative,0.1,0.05,60,0.55,0.42694444444444446
quantitative,0.1,0.08,60,0.5666666666666667,0.43027777777777776
quantitative,0.1,0.1,60,0.55,0.4277777777777778
quantitative,0.1,0.15,60,0.55,0.4263888888888889
quantitative,0.1,0.2,60,0.55,0.4305555555555555
quantitative,0.2,0.0,60,0.5833333333333334,0.4386111111111111
quantitative,0.2,0.05,60,0.5833333333333334,0.4363888888888889
quantitative,0.2,0.08,60,0.5833333333333334,0.43916666666666665
quantitative,0.2,0.1,60,0.5833333333333334,0.43916666666666665
quantitative,0.2,0.15,60,0.5833333333333334,0.43916666666666665
quantitative,0.2,0.2,60,0.5666666666666667,0.43527777777777776
quantitative,0.3,0.0,60,0.6166666666666667,0.4488888888888889
quantitative,0.3,0.05,60,0.6166666666666667,0.44805555555555554
quantitative,0.3,0.08,60,0.6333333333333333,0.4513888888888889
quantitative,0.3,0.1,60,0.6166666666666667,0.44805555555555554
quantitative,0.3,0.15,60,0.5833333333333334,0.44
quantitative,0.3,0.2,60,0.5666666666666667,0.43666666666666665
quantitative,0.4,0.0,60,0.6333333333333333,0.4533333333333333
quantitative,0.4,0.05,60,0.6333333333333333,0.4552777777777778
quantitative,0.4,0.08,60,0.6166666666666667,0.45472222222222225
