dataset,query_type,config,n,hit_rate_at_5,mrr_at_5,mean_latency_seconds,median_latency_seconds
KB1_Standard,Ngữ nghĩa,Adaptive alpha,30,0.36666666666666664,0.2111111111111111,0.12398833000139954,0.11589279999316204
KB1_Standard,Ngữ nghĩa,Adaptive alpha + table bonus,30,0.36666666666666664,0.2111111111111111,0.11943656333023682,0.11345005000475794
KB1_Standard,Ngữ nghĩa,Fixed alpha = 0.3,30,0.36666666666666664,0.24555555555555555,0.17364153999466606,0.12216559998341836
KB1_Standard,Ngữ nghĩa,Fixed alpha = 0.4,30,0.36666666666666664,0.2288888888888889,0.12543015666500043,0.11736464999557938
KB1_Standard,Ngữ nghĩa,Fixed alpha = 0.5,30,0.36666666666666664,0.21222222222222223,0.12200171667015335,0.11449954999261536
KB1_Standard,Ngữ nghĩa,Fixed alpha = 0.7,30,0.36666666666666664,0.2111111111111111,0.12474031333113089,0.11641160001454409
KB1_Standard,Định lượng,Adaptive alpha,30,0.7666666666666667,0.64,0.12780590333568398,0.109633300016867
KB1_Standard,Định lượng,Adaptive alpha + table bonus,30,0.7666666666666667,0.5816666666666667,0.1264761999977054,0.11244899999292102
KB1_Standard,Định lượng,Fixed alpha = 0.3,30,0.7666666666666667,0.6594444444444444,0.12762370333366563,0.11494154999672901
KB1_Standard,Định lượng,Fixed alpha = 0.4,30,0.7666666666666667,0.64,0.1248064999973091,0.1094087999954354
KB1_Standard,Định lượng,Fixed alpha = 0.5,30,0.7333333333333333,0.611111111111111,0.12769662333497156,0.11157500000263099
KB1_Standard,Định lượng,Fixed alpha = 0.7,30,0.7333333333333333,0.5994444444444444,0.12789474666933529,0.11207430000649765
KB2_Mom_Style,Ngữ nghĩa,Adaptive alpha,30,0.36666666666666664,0.275,0.10431164333422202,0.10051375000330154
KB2_Mom_Style,Ngữ nghĩa,Adaptive alpha + table bonus,30,0.36666666666666664,0.275,0.10391477666465411,0.10550370000419207
KB2_Mom_Style,Ngữ nghĩa,Fixed alpha = 0.3,30,0.4,0.33999999999999997,0.10518904666629775,0.10203589999582618
KB2_Mom_Style,Ngữ nghĩa,Fixed alpha = 0.4,30,0.4,0.33999999999999997,0.10344814666217038,0.10294129999238066
KB2_Mom_Style,Ngữ nghĩa,Fixed alpha = 0.5,30,0.36666666666666664,0.2833333333333333,0.10562922999767276,0.10138430001097731
KB2_Mom_Style,Ngữ nghĩa,Fixed alpha = 0.7,30,0.36666666666666664,0.275,0.10678656999662053,0.1024567999993451
KB2_Mom_Style,Định lượng,Adaptive alpha,30,0.7666666666666667,0.6305555555555556,0.13244067666625295,0.12446819999604486
KB2_Mom_Style,Định lượng,Adaptive alpha + table bonus,30,0.7666666666666667,0.6,0.1319755166672015,0.12492470000870526
KB2_Mom_Style,Định lượng,Fixed alpha = 0.3,30,0.7666666666666667,0.6416666666666667,0.1304359700026301,0.12052070000208914
KB2_Mom_Style,Định lượng,Fixed alpha = 0.4,30,0.7666666666666667,0.6305555555555556,0.13333871333258382,0.1289760999934515
KB2_Mom_Style,Định lượng,Fixed alpha = 0.5,30,0.7666666666666667,0.6138888888888889,0.133113443335363,0.1261215499980608
KB2_Mom_Style,Định lượng,Fixed alpha = 0.7,30,0.7666666666666667,0.6055555555555556,0.13418485667013252,0.12143414998718072
KB3_Information_Noise,Ngữ nghĩa,Adaptive alpha,30,0.2,0.16666666666666666,0.16024860999993204,0.1478217499825405
KB3_Information_Noise,Ngữ nghĩa,Adaptive alpha + table bonus,30,0.2,0.16666666666666666,0.16261232666826497,0.14473990000260528
KB3_Information_Noise,Ngữ nghĩa,Fixed alpha = 0.3,30,0.2,0.18333333333333332,0.16163132999790833,0.14779114998236764
KB3_Information_Noise,Ngữ nghĩa,Fixed alpha = 0.4,30,0.2,0.18333333333333332,0.15718227333272808,0.14224874999490567
KB3_Information_Noise,Ngữ nghĩa,Fixed alpha = 0.5,30,0.2,0.16666666666666666,0.1563842933353347,0.14789965000818484
KB3_Information_Noise,Ngữ nghĩa,Fixed alpha = 0.7,30,0.2,0.16666666666666666,0.15797716000039752,0.14561274999869056
KB3_Information_Noise,Định lượng,Adaptive alpha,30,0.6333333333333333,0.4583333333333333,0.21447750999747464,0.1708039499935694
KB3_Information_Noise,Định lượng,Adaptive alpha + table bonus,30,0.6333333333333333,0.4761111111111111,0.21322562333468037,0.16477784999005962
KB3_Information_Noise,Định lượng,Fixed alpha = 0.3,30,0.6333333333333333,0.5194444444444445,0.21368896333442536,0.17034660000354052
KB3_Information_Noise,Định lượng,Fixed alpha = 0.4,30,0.6333333333333333,0.4583333333333333,0.21384040333796292,0.162638549998519
KB3_Information_Noise,Định lượng,Fixed alpha = 0.5,30,0.6333333333333333,0.4388888888888889,0.2117280033339436,0.1683408499957295
KB3_Information_Noise,Định lượng,Fixed alpha = 0.7,30,0.6,0.41055555555555556,0.21167417667068852,0.15919175001909025
TỔNG HỢP,Ngữ nghĩa,Adaptive alpha,90,0.3111111111111111,0.2175925925925926,0.12951619444518453,0.12247805000515655
TỔNG HỢP,Ngữ nghĩa,Adaptive alpha + table bonus,90,0.3111111111111111,0.2175925925925926,0.1286545555543853,0.12319769999885466
TỔNG HỢP,Ngữ nghĩa,Fixed alpha = 0.3,90,0.32222222222222224,0.2562962962962963,0.1468206388862907,0.12528890000248794
TỔNG HỢP,Ngữ nghĩa,Fixed alpha = 0.4,90,0.32222222222222224,0.25074074074074076,0.12868685888663298,0.12214444999699481
TỔNG HỢP,Ngữ nghĩa,Fixed alpha = 0.5,90,0.3111111111111111,0.22074074074074074,0.1280050800010536,0.12385834999440704
TỔNG HỢP,Ngữ nghĩa,Fixed alpha = 0.7,90,0.3111111111111111,0.2175925925925926,0.12983468110938298,0.12418800001614727
TỔNG HỢP,Định lượng,Adaptive alpha,90,0.7222222222222222,0.5762962962962963,0.15824136333313718,0.13804924998839851
TỔNG HỢP,Định lượng,Adaptive alpha + table bonus,90,0.7222222222222222,0.5525925925925926,0.15722577999986243,0.1390790999867022
TỔNG HỢP,Định lượng,Fixed alpha = 0.3,90,0.7222222222222222,0.6068518518518519,0.157249545556907,0.14003080000111368
TỔNG HỢP,Định lượng,Fixed alpha = 0.4,90,0.7222222222222222,0.5762962962962963,0.15732853888928527,0.13865494998754002
TỔNG HỢP,Định lượng,Fixed alpha = 0.5,90,0.7111111111111111,0.5546296296296296,0.15751269000142606,0.13918285000545438
