config,profile,n,hit_rate_at_5,mrr_at_5,mean_latency_seconds
Adaptive alpha v2,exact_lexical,41,0.4146341463414634,0.3300813008130081,0.13143786829512952
Adaptive alpha v2,noisy_conversational,60,0.43333333333333335,0.3625,0.13716166333276003
Adaptive alpha v2,quantitative,60,0.7,0.5530555555555555,0.1589540233355365
Adaptive alpha v2,semantic,51,0.3137254901960784,0.22124183006535947,0.11815518431260488
Fixed alpha = 0.3,exact_lexical,41,0.4146341463414634,0.3186991869918699,0.14481151219891816
Fixed alpha = 0.3,noisy_conversational,60,0.43333333333333335,0.3625,0.14867255333374488
Fixed alpha = 0.3,quantitative,60,0.6833333333333333,0.5427777777777777,0.16547800333064516
Fixed alpha = 0.3,semantic,51,0.3137254901960784,0.22124183006535947,0.1218459607825578
Fixed alpha = 0.4,exact_lexical,41,0.36585365853658536,0.30894308943089427,0.13415329512095125
Fixed alpha = 0.4,noisy_conversational,60,0.43333333333333335,0.3736111111111111,0.13948852833224615
Fixed alpha = 0.4,quantitative,60,0.6833333333333333,0.551111111111111,0.16303856166584108
Fixed alpha = 0.4,semantic,51,0.29411764705882354,0.22058823529411764,0.12186689019789827
Fixed alpha = 0.5,exact_lexical,41,0.36585365853658536,0.2682926829268293,0.1357307853666986
Fixed alpha = 0.5,noisy_conversational,60,0.43333333333333335,0.35833333333333334,0.14073684666655026
Fixed alpha = 0.5,quantitative,60,0.6833333333333333,0.5611111111111111,0.15873099833358234
Fixed alpha = 0.5,semantic,51,0.3137254901960784,0.19509803921568625,0.1181722627439098
Fixed alpha = 0.7,exact_lexical,41,0.34146341463414637,0.23983739837398377,0.13111512926506538
Fixed alpha = 0.7,noisy_conversational,60,0.43333333333333335,0.31805555555555554,0.13912294333325312
Fixed alpha = 0.7,quantitative,60,0.6833333333333333,0.5136111111111111,0.1589290816671564
Fixed alpha = 0.7,semantic,51,0.3137254901960784,0.19607843137254902,0.1172875215678348
