config,profile,n,hit_rate_at_5,mrr_at_5,mean_latency_seconds
Adaptive alpha tuned,exact_lexical,41,0.4146341463414634,0.3300813008130081,6.949756061658263e-05
Adaptive alpha tuned,noisy_conversational,60,0.43333333333333335,0.3625,6.29483334099253e-05
Adaptive alpha tuned,quantitative,60,0.6833333333333333,0.5552777777777778,8.155500011829039e-05
Adaptive alpha tuned,semantic,51,0.3137254901960784,0.22124183006535947,6.383725364382069e-05
Fixed alpha = 0.1,exact_lexical,41,0.4146341463414634,0.3313008130081301,7.388048532714204e-05
Fixed alpha = 0.1,noisy_conversational,60,0.4166666666666667,0.35833333333333334,6.0763332779364036e-05
Fixed alpha = 0.1,quantitative,60,0.6666666666666666,0.5430555555555556,8.293166902149097e-05
Fixed alpha = 0.1,semantic,51,0.3137254901960784,0.21895424836601307,6.489803861625784e-05
Fixed alpha = 0.2,exact_lexical,41,0.4146341463414634,0.3300813008130081,7.073902425628791e-05
Fixed alpha = 0.2,noisy_conversational,60,0.43333333333333335,0.3625,6.437499929840366e-05
Fixed alpha = 0.2,quantitative,60,0.6666666666666666,0.5394444444444445,8.569166432910909e-05
Fixed alpha = 0.2,semantic,51,0.3137254901960784,0.22124183006535947,6.645294100356598e-05
Fixed alpha = 0.3,exact_lexical,41,0.4146341463414634,0.3186991869918699,5.918780622844834e-05
Fixed alpha = 0.3,noisy_conversational,60,0.43333333333333335,0.3625,5.799500261976694e-05
Fixed alpha = 0.3,quantitative,60,0.6833333333333333,0.5427777777777777,0.0001203233317937702
Fixed alpha = 0.3,semantic,51,0.3137254901960784,0.22124183006535947,6.044509948468676e-05
Fixed alpha = 0.4,exact_lexical,41,0.36585365853658536,0.30894308943089427,5.832195023597195e-05
Fixed alpha = 0.4,noisy_conversational,60,0.43333333333333335,0.3736111111111111,7.439666514983401e-05
Fixed alpha = 0.4,quantitative,60,0.6833333333333333,0.551111111111111,8.429833251284435e-05
Fixed alpha = 0.4,semantic,51,0.29411764705882354,0.22058823529411764,6.409019845830021e-05
Fixed alpha = 0.5,exact_lexical,41,0.36585365853658536,0.2682926829268293,0.00010039268214846166
Fixed alpha = 0.5,noisy_conversational,60,0.43333333333333335,0.35833333333333334,6.716499871496732e-05
Fixed alpha = 0.5,quantitative,60,0.6833333333333333,0.5611111111111111,8.266500080935656e-05
Fixed alpha = 0.5,semantic,51,0.3137254901960784,0.19509803921568625,5.984509776930745e-05
Fixed alpha = 0.6,exact_lexical,41,0.36585365853658536,0.2650406504065041,7.020243693415711e-05
Fixed alpha = 0.6,noisy_conversational,60,0.43333333333333335,0.3333333333333333,6.529333331855014e-05
Fixed alpha = 0.6,quantitative,60,0.6833333333333333,0.5416666666666666,0.00010075000124440217
Fixed alpha = 0.6,semantic,51,0.3137254901960784,0.19836601307189544,7.587450832658101e-05
Fixed alpha = 0.7,exact_lexical,41,0.34146341463414637,0.23983739837398377,6.055609868248788e-05
Fixed alpha = 0.7,noisy_conversational,60,0.43333333333333335,0.31805555555555554,5.95983302143092e-05
Fixed alpha = 0.7,quantitative,60,0.6833333333333333,0.5136111111111111,8.943999952559049e-05
Fixed alpha = 0.7,semantic,51,0.3137254901960784,0.19607843137254902,6.157058797886267e-05
Fixed alpha = 0.8,exact_lexical,41,0.34146341463414637,0.23048780487804876,7.118292865570543e-05
Fixed alpha = 0.8,noisy_conversational,60,0.43333333333333335,0.31027777777777776,6.888666442440202e-05
Fixed alpha = 0.8,quantitative,60,0.6666666666666666,0.5030555555555556,9.000999804508562e-05
Fixed alpha = 0.8,semantic,51,0.3137254901960784,0.19444444444444442,6.0625490161827674e-05
Fixed alpha = 0.9,exact_lexical,41,0.2682926829268293,0.21341463414634146,7.363902362313394e-05
Fixed alpha = 0.9,noisy_conversational,60,0.38333333333333336,0.29083333333333333,7.824666536180303e-05
Fixed alpha = 0.9,quantitative,60,0.6166666666666667,0.49,0.00010522999800741673
Fixed alpha = 0.9,semantic,51,0.2549019607843137,0.1781045751633987,7.028235339413525e-05
Fixed alpha = 1.0,exact_lexical,41,0.2682926829268293,0.21341463414634146,7.830244324329059e-05
Fixed alpha = 1.0,noisy_conversational,60,0.36666666666666664,0.28611111111111115,7.247499791750064e-05
Fixed alpha = 1.0,quantitative,60,0.6166666666666667,0.49,8.476833221114551e-05
Fixed alpha = 1.0,semantic,51,0.2549019607843137,0.17712418300653596,6.082941157122453e-05
