config,n,hit_rate_at_5,mrr_at_5,mean_latency_seconds
Adaptive alpha tuned,212,0.4716981132075472,0.3768081761006289,6.969481100380983e-05
Fixed alpha = 0.1,212,0.46226415094339623,0.3718553459119497,7.056886781081733e-05
Fixed alpha = 0.2,212,0.4669811320754717,0.37232704402515726,7.213867831764356e-05
Fixed alpha = 0.3,212,0.4716981132075472,0.37106918238993714,7.645518959385677e-05
Fixed alpha = 0.4,212,0.45754716981132076,0.3745283018867925,7.16108487774003e-05
Fixed alpha = 0.5,212,0.46226415094339623,0.35904088050314464,7.621698078198604e-05
Fixed alpha = 0.6,212,0.46226415094339623,0.34661949685534593,7.882311279591138e-05
Fixed alpha = 0.7,212,0.45754716981132076,0.3289308176100629,6.870377272310368e-05
Fixed alpha = 0.8,212,0.4528301886792453,0.32154088050314467,7.332169727031317e-05
Fixed alpha = 0.9,212,0.39622641509433965,0.3051100628930818,8.307641412171026e-05
Fixed alpha = 1.0,212,0.3915094339622642,0.3035377358490566,7.42797168435195e-05
