chunk_size,chunk_overlap,topic,n,hit_at_1,hit_at_3,hit_at_5,mrr_at_5,median_latency_seconds
512,100,body-part,247,0.7854251012145749,0.8785425101214575,0.9190283400809717,0.8379217273954116,0.0650031000004673
512,100,disease,783,0.7062579821200511,0.822477650063857,0.8825031928480205,0.7744785014899956,0.0690813000001071
512,100,drug,489,0.6155419222903885,0.6932515337423313,0.7402862985685071,0.660054533060668,0.0760730000001785
512,100,medicine,694,0.6484149855907781,0.7377521613832853,0.792507204610951,0.701104707012488,0.0686568500004796
1000,200,body-part,247,0.7935222672064778,0.8744939271255061,0.9230769230769231,0.8408232118758435,0.06134369999927
1000,200,disease,783,0.7139208173690932,0.8416347381864623,0.8825031928480205,0.7807151979565772,0.0688450999987253
1000,200,drug,489,0.6196319018404908,0.7137014314928425,0.7484662576687117,0.6683026584867076,0.0604604000000108
1000,200,medicine,694,0.6512968299711815,0.7550432276657061,0.7982708933717579,0.7103986551392891,0.05970265000178185
1800,360,body-part,247,0.7773279352226721,0.8744939271255061,0.9230769230769231,0.8320512820512821,0.0619501000001037
1800,360,disease,783,0.7241379310344828,0.8454661558109834,0.8876117496807152,0.786845466155811,0.0653247000009287
1800,360,drug,489,0.6257668711656442,0.7177914110429447,0.7484662576687117,0.6734151329243354,0.0607826000014029
1800,360,medicine,694,0.6498559077809798,0.7564841498559077,0.7982708933717579,0.7103746397694525,0.05997530000058755
3000,600,body-part,247,0.7813765182186235,0.8866396761133604,0.9230769230769231,0.8379892037786774,0.0637638999978662
3000,600,disease,783,0.7241379310344828,0.8454661558109834,0.8914431673052363,0.7878884631758194,0.0743993000032787
3000,600,drug,489,0.6278118609406953,0.7177914110429447,0.7484662576687117,0.6745398773006135,0.0619929999993473
3000,600,medicine,694,0.6498559077809798,0.7550432276657061,0.7982708933717579,0.7103986551392891,0.060801449999416904
