budget,kb,n,valid_rate,avg_generation_docs,avg_context_tokens,avg_rouge_l,avg_latency_seconds
1000,KB1,20,1.0,1.7,718.3,0.20682183885510316,4.676399339999989
1000,KB2,20,1.0,1.65,670.95,0.24237075436446656,10.095029860000068
1000,KB3,20,1.0,1.55,643.15,0.21694030984912288,7.027612959999897
1500,KB1,20,1.0,2.6,1165.35,0.21177789361286617,1.638087639999776
1500,KB2,20,1.0,2.65,1170.6,0.24185400748504615,19.139836470000045
1500,KB3,20,1.0,2.3,1088.7,0.20937157481596422,19.127455989999998
2200,KB1,20,1.0,3.8,1853.65,0.2734740293913215,16.394752309999966
2200,KB2,20,1.0,3.85,1830.15,0.3045625006423044,10.24700756000002
2200,KB3,20,1.0,3.6,1765.9,0.257581808143466,19.153399589999935
3000,KB1,20,1.0,4.6,2382.95,0.2557623703369724,28.377195244999804
3000,KB2,20,1.0,4.6,2319.45,0.269312480652456,22.33919616999983
3000,KB3,20,1.0,4.35,2269.85,0.2362574868411008,13.181316454999978
