K,hit_rate,mrr,avg_time_s,avg_docs_found,valid_answers,total_questions,context_mode
1,0.7,0.7,3.364,1.0,10,10,Direct Context
2,0.8,0.75,3.541,2.0,10,10,Direct Context
3,0.8,0.75,9.046,3.0,10,10,Direct Context
4,0.8,0.75,8.859,4.0,10,10,Direct Context
5,0.8,0.75,6.761,5.0,10,10,Direct Context
6,0.8,0.75,16.296,6.0,10,10,Map-Reduce Async
7,0.9,0.764,14.843,7.0,10,10,Map-Reduce Async
8,0.9,0.764,26.926,8.0,10,10,Map-Reduce Async
9,0.9,0.764,20.285,9.0,10,10,Map-Reduce Async
10,0.9,0.764,16.318,10.0,10,10,Map-Reduce Async
